City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,ardestan,33.3761,52.3694,298.7,20,85,2.72,IR,1683828402
258,banda,25.4833,80.3333,305.97,11,0,3.29,IN,1683828402
259,castillos,-34.1667,-53.8333,290.02,58,80,3.83,UY,1683828402
260,saynshand,44.8824,110.1163,284.97,53,94,8.87,MN,1683828403
261,porto novo,17.0197,-25.0647,299.15,74,13,6.68,CV,1683828403
262,quepos,9.4236,-84.1652,304.23,66,33,2.58,CR,1683828403
263,alofi,-19.0595,-169.9187,299.12,82,26,9.08,NU,1683828403
264,page,36.9147,-111.4558,296.03,21,0,6.26,US,1683828245
265,muisne,0.6,-80.0333,301.9,78,80,2.92,EC,1683828404
266,taitung city,22.7583,121.1444,296.18,80,93,1.41,TW,1683828116
267,hozat,39.1083,39.2213,286.87,54,41,1.12,TR,1683828405
268,opuwo,-18.0607,13.84,296.92,23,81,3.8,NA,1683828405
269,ola,59.5833,151.2833,273.26,93,63,0.34,RU,1683828405
270,selfoss,63.9331,-20.9971,282.06,90,100,6.29,IS,1683828407
271,devils lake,48.1128,-98.8651,297.21,59,0,3.6,US,1683828407
272,borogontsy,62.6683,131.1683,269.55,73,100,1.92,RU,1683828408
273,kiunga,-6.1219,141.2906,296.94,100,99,0.33,PG,1683828410
274,cidreira,-30.1811,-50.2056,290.8,67,53,6.87,BR,1683828334
275,belyy yar,53.6039,91.3903,283.09,76,0,2.0,RU,1683828410
276,ad dilam,23.9915,47.1627,307.08,11,6,4.78,SA,1683828411
277,new plymouth,-39.0667,174.0833,281.66,100,45,1.68,NZ,1683828195
278,hovd,48.0056,91.6419,285.86,41,82,2.87,MN,1683828411
279,tabuk,17.4189,121.4443,297.83,84,97,1.29,PH,1683828412
280,christchurch,-43.5333,172.6333,281.75,73,75,1.54,NZ,1683828412
281,palmer,42.1584,-72.3287,300.33,27,12,2.24,US,1683828412
282,salinas de hidalgo,22.6333,-101.7167,297.22,15,2,2.6,MX,1683828413
283,taroa,8.7058,171.2275,300.91,81,84,7.55,MH,1683828413
284,marka,1.7159,44.7717,300.05,86,57,7.36,SO,1683828414
285,sovetskiy,61.3614,63.5842,275.91,52,57,1.93,RU,1683828414
286,boguchany,58.3814,97.4531,277.87,53,100,1.74,RU,1683828414
287,mejit,10.2753,170.8646,300.66,80,100,7.7,MH,1683828415
288,shalqar,47.8333,59.6,294.46,39,90,4.34,KZ,1683828415
289,arno,60.1167,18.6333,283.03,46,24,4.33,SE,1683828415
290,xiaoweizhai,26.1903,107.5125,287.32,97,59,1.36,CN,1683828415
291,al kharijah,25.4514,30.5464,304.75,14,0,5.41,EG,1683828416
292,sao gabriel da cachoeira,-0.1303,-67.0892,299.58,86,98,1.04,BR,1683828416
293,majene,-3.5403,118.9707,299.22,89,99,2.86,ID,1683828275
294,caazapa,-26.15,-56.4,295.78,43,5,2.83,PY,1683828417
295,praya,-8.7054,116.2704,299.07,89,100,4.63,ID,1683828417
296,general conesa,-40.1,-64.4333,293.74,30,38,8.27,AR,1683828417
297,tralee,52.2704,-9.7026,286.29,82,100,6.69,IE,1683828322
298,iskateley,67.6803,53.1512,273.31,99,100,5.26,RU,1683828418
299,haiku-pauwela,20.9219,-156.3051,298.17,74,20,2.57,US,1683828418
300,salinas,36.6777,-121.6555,291.16,62,0,3.6,US,1683828363
301,douz,33.4663,9.0203,303.17,21,97,3.41,TN,1683828419
302,kumasi,6.6885,-1.6244,301.28,74,72,3.5,GH,1683828419
303,pisco,-13.7,-76.2167,294.27,83,100,2.57,PE,1683828420
304,yuzhno-kurilsk,44.0306,145.8556,275.95,88,12,4.38,RU,1683828420
305,nampula,-15.1165,39.2666,294.03,81,100,1.17,MZ,1683828420
306,calbuco,-41.768,-73.1273,288.71,83,99,2.72,CL,1683828420
307,ar ruseris,11.8659,34.3869,308.55,15,19,1.29,SD,1683828421
308,ploudalmezeau,48.5333,-4.65,287.29,82,75,5.66,FR,1683828421
309,ambodifotatra,-16.9833,49.85,299.86,73,7,4.52,MG,1683828421
310,goundam,16.4145,-3.6708,310.31,9,100,0.7,ML,1683828422
311,jayapura,-2.5333,140.7,297.81,88,100,1.06,ID,1683828423
312,shihezi,44.3,86.0333,295.28,13,71,3.72,CN,1683828423
313,stephenville,32.2207,-98.2023,302.52,64,75,5.14,US,1683828258
314,pitimbu,-7.4706,-34.8086,303.48,68,72,3.74,BR,1683828424
315,kenora,49.8167,-94.4337,297.55,34,18,1.78,CA,1683828424
316,mingyue,43.1069,128.9217,281.01,62,99,0.23,CN,1683828425
317,soto la marina,23.7667,-98.2167,310.23,40,1,6.11,MX,1683828387
318,agat village,13.3886,144.6585,300.67,92,40,1.54,GU,1683828425
319,mcgregor,26.5609,-81.9145,307.59,48,0,5.14,US,1683828426
320,falaise,48.8922,-0.1953,286.66,88,69,3.18,FR,1683828426
321,laboulaye,-34.1266,-63.3912,293.73,40,85,5.21,AR,1683828426
322,yemva,62.59,50.8594,282.49,60,73,2.73,RU,1683828427
323,nyurba,63.2842,118.3319,271.35,70,4,1.54,RU,1683828432
324,hirara,24.8,125.2833,294.07,73,20,2.57,JP,1683828339
325,okhotsk,59.3833,143.3,272.88,90,96,1.67,RU,1683828433
326,luderitz,-26.6481,15.1594,289.52,68,100,8.03,NA,1683828433
327,teuva,62.4819,21.7416,287.91,49,9,4.18,FI,1683828434
328,mar del plata,-38.0023,-57.5575,287.56,68,0,3.6,AR,1683828418
329,mawlamyinegyunn,16.3833,95.2667,301.29,80,100,2.43,MM,1683828435
330,beruwala,6.4788,79.9828,299.94,87,100,4.21,LK,1683828436
331,igarka,67.4667,86.5833,258.75,84,13,8.03,RU,1683828330
332,acapulco de juarez,16.8634,-99.8901,305.05,62,75,4.12,MX,1683828437
333,padang,-0.9492,100.3543,300.18,87,96,1.84,ID,1683828411
334,sanghar,26.0466,68.9481,308.44,25,0,5.86,PK,1683828438
335,saint-pierre,-21.3393,55.4781,297.97,73,0,2.57,RE,1683828299
336,mbanza-ngungu,-5.25,14.8667,295.72,77,7,0.82,CD,1683828438
337,aginskoye,51.1,114.53,280.15,45,88,8.09,RU,1683828439
338,pangoa,-12.1167,-73.0,300.96,59,100,1.66,PE,1683828440
339,khandyga,62.6667,135.6,273.78,98,100,1.03,RU,1683828440
340,taoudenni,22.6783,-3.9836,312.81,7,83,7.57,ML,1683828441
341,dampit,-8.2116,112.7493,295.74,97,99,1.51,ID,1683828441
342,jumla,29.2747,82.1838,282.44,70,34,1.52,NP,1683828447
343,dingwall,57.5953,-4.4272,283.12,93,100,2.2,GB,1683828447
344,guangyuan,32.442,105.823,290.27,59,100,0.81,CN,1683828447
345,elliot lake,46.3834,-82.6331,295.28,47,42,4.09,CA,1683828417
346,nizhneangarsk,55.7833,109.55,271.55,81,7,1.61,RU,1683828448
347,lerwick,60.1545,-1.1494,282.15,84,16,4.18,GB,1683828287
348,puerto baquerizo moreno,-0.9,-89.6,302.7,79,40,5.66,EC,1683828449
349,emerald,-23.5333,148.1667,288.34,87,6,3.48,AU,1683828449
350,tabou,4.423,-7.3528,301.87,78,14,3.54,CI,1683828450
351,tirumullaivasal,11.2333,79.8333,302.97,79,93,4.66,IN,1683828450
352,swakopmund,-22.6833,14.5333,288.14,87,100,1.34,NA,1683828450
353,nemuro,43.3236,145.575,276.19,82,14,5.3,JP,1683828337
354,remire-montjoly,4.9167,-52.2667,298.17,94,100,3.6,GF,1683828451
355,isangel,-19.55,169.2667,297.47,73,88,5.41,VU,1683828452
356,palikir - national government center,6.9248,158.1611,300.92,78,48,3.87,FM,1683828453
357,kansk,56.2017,95.7175,280.8,44,100,1.93,RU,1683828454
358,slave lake,55.2834,-114.769,289.14,55,75,3.09,CA,1683828345
359,kalengwa,-13.4659,25.0027,289.97,42,0,1.73,ZM,1683828455
360,kalymnos,36.95,26.9833,290.89,72,20,2.57,GR,1683828456
361,chibougamau,49.9168,-74.3659,291.68,30,2,3.0,CA,1683828457
362,anshun,26.25,105.9333,286.86,82,100,1.63,CN,1683828458
363,dera bugti,29.0307,69.151,306.94,10,67,1.4,PK,1683828458
